response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,Less than 50 percent,Landline,1,0.4445,0.6831,0.6821,0.7159,2018-10-23 14:11:54
Und,65 and older,Bachelors' degree,Unknown,Male,Hispanic,Disapp.,Don't know,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Unknown,Northwest,85 percent or higher,Landline,1,0.8808,1.2559,0.6599,1.2746,2018-10-23 14:11:54
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,4-year College Grad.,Other Non-White,West,85 percent or higher,Cell,1,0.97,0.9669,0.6507,0.9515,2018-10-23 14:12:03
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,West,Less than 50 percent,Cell,0.8889,0.311,0.5932,0.934,0.6196,2018-10-23 14:12:03
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Inner Loop/Bellaire,Less than 50 percent,Cell,1,0.4137,0.9888,1.1774,1.1948,2018-10-23 14:12:03
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Landline,0.8889,0.8648,1.3093,0.9888,1.3002,2018-10-23 14:12:03
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.9694,0.6782,0.3257,0.6758,2018-10-23 14:12:03
Rep,50 to 64,Bachelors' degree,Unknown,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Unknown,Northwest,85 percent or higher,Cell,1,0.9356,1.0599,0.5789,1.0538,2018-10-23 14:12:12
Rep,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,West,85 percent or higher,Landline,1,0.97,1.1408,0.6566,1.1226,2018-10-23 14:12:12
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,White,West,85 percent or higher,Cell,1,0.97,0.9405,0.556,0.9324,2018-10-23 14:12:12
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.9641,1.3093,0.887,1.2985,2018-10-23 14:12:12
Und,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Male,Not very likely,Democrat,Nonwhite,18 to 39,4-year College Grad.,Other Non-White,Inner Loop/Bellaire,Less than 50 percent,Landline,0.2222,0.1751,0.8861,3.1553,0.3166,2018-10-23 14:12:21
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Hispanic,Northwest,85 percent or higher,Landline,1,0.97,1.1453,0.6962,1.127,2018-10-23 14:12:21
Dem,35 to 49,Graduate or Professional Degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,West,85 percent or higher,Cell,1,0.97,0.6811,0.4093,0.6752,2018-10-23 14:12:30
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9611,0.8209,0.3957,0.8193,2018-10-23 14:12:30
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Northwest,85 percent or higher,Landline,1,0.97,1.5172,1.0471,1.5042,2018-10-23 14:12:30
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.7933,0.3792,0.7865,2018-10-23 14:12:30
Rep,65 and older,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Other,Male,Somewhat likely,Republican,Nonwhite,65 and older,No 4-year College Degree,White,West,Less than 50 percent,Landline,1,0.2091,0.9854,2.9964,0.9186,2018-10-23 14:12:30
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,85 percent or higher,Landline,1,0.97,0.9405,0.556,0.9255,2018-10-23 14:12:39
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,West,85 percent or higher,Cell,1,0.97,0.8036,0.413,0.7966,2018-10-23 14:12:39
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Northwest,Less than 50 percent,Cell,1,0.466,0.7544,0.8857,0.7858,2018-10-23 14:12:39
Rep,35 to 49,High school,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,Beto O'Rourke,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.5841,1.7279,1.5467,1.848,2018-10-23 14:12:48
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,Less than 50 percent,Landline,1,0.449,0.7824,0.8747,0.8798,2018-10-23 14:12:48
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.1755,0.7252,1.1567,2018-10-23 14:12:48
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.7809,0.9408,0.4929,0.9582,2018-10-23 14:13:06
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.8406,0.3994,0.8334,2018-10-23 14:13:06
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.97,0.7018,0.3365,0.6993,2018-10-23 14:13:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,Less than 50 percent,Cell,0.7778,0.425,0.4651,0.5416,0.4464,2018-10-23 14:13:15
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,Approve,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 39,4-year College Grad.,White,Northwest,Less than 50 percent,Cell,1,0.1222,0.7994,2.8982,1.2086,2018-10-23 14:13:15
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Unknown,West,Less than 50 percent,Cell,1,0.228,1.2026,3.5234,1.3981,2018-10-23 14:13:15
Rep,65 and older,Some college or trade school,Asian,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Other Non-White,Northwest,85 percent or higher,Cell,1,0.97,1.2941,0.9071,1.2404,2018-10-23 14:13:15
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Unknown,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.5077,1.1004,0.9411,1.208,2018-10-23 14:13:15
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,Black,Disapp.,Don't know,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,Unknown,Northwest,Less than 50 percent,Cell,0,0.2905,0.683,1.1117,0.4577,2018-10-23 14:13:15
Rep,[DO NOT READ] Refused,Grade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,18 to 29,High School Grad. or Less,Other,Female,Almost certain,Republican,Nonwhite,18 to 39,No 4-year College Degree,White,Northwest,Less than 50 percent,Landline,1,0.1337,1.0342,4.2788,1.5294,2018-10-23 14:13:15
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,West,85 percent or higher,Cell,1,0.8959,1.1585,0.7248,1.1575,2018-10-23 14:13:24
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.8468,0.8413,0.4461,0.8269,2018-10-23 14:13:24
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,85 percent or higher,Cell,1,0.9594,1.2167,0.8299,1.196,2018-10-23 14:13:24
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.4347,0.8728,1.4224,2018-10-23 14:13:24
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.9152,0.9811,0.556,0.9777,2018-10-23 14:13:33
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,Dems. take House,Don't know,Don't know,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Northwest,Less than 50 percent,Cell,0.5556,0.3648,0.7994,1.1917,0.5407,2018-10-23 14:13:33
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.5545,1.5289,1.2373,1.7194,2018-10-23 14:13:33
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.0629,0.5723,1.0538,2018-10-23 14:13:33
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.9271,1.2164,0.7845,1.2105,2018-10-23 14:13:42
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,30 to 44,Some College Educ.,Other,Female,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,West,Less than 50 percent,Cell,0.6667,0.2179,1.0505,3.2888,0.6715,2018-10-23 14:13:42
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Other Non-White,West,85 percent or higher,Cell,1,0.97,0.6917,0.4173,0.6857,2018-10-23 14:13:51
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,Less than 50 percent,Cell,1,0.3424,0.9703,1.7946,1.0557,2018-10-23 14:13:51
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,West,50 to 85 percent,Landline,1,0.8209,1.1116,0.6914,1.1238,2018-10-23 14:13:51
Dem,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,Don't know,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.5261,0.8112,0.7547,0.8845,2018-10-23 14:14:00
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.8406,0.3994,0.8272,2018-10-23 14:14:00
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,Less than 50 percent,Cell,1,0.3796,0.7384,0.9822,0.8592,2018-10-23 14:14:00
Dem,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.97,0.9481,0.5074,0.9399,2018-10-23 14:14:18
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,85 percent or higher,Cell,1,0.97,1.2459,0.8362,1.2352,2018-10-23 14:14:18
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.2889,0.7897,1.2843,2018-10-23 14:14:18
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Don't know,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.8684,0.9259,0.5563,0.9287,2018-10-23 14:14:18
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.1263,0.6029,1.1166,2018-10-23 14:14:18
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.9254,0.4311,0.9174,2018-10-23 14:14:18
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,Unfavorable,Don't know,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Inner Loop/Bellaire,Less than 50 percent,Cell,1,0.3533,0.9152,1.2953,1.0812,2018-10-23 14:14:27
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.0466,0.5613,1.0376,2018-10-23 14:14:27
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,50 to 85 percent,Cell,1,0.6883,1.195,1.1124,1.242,2018-10-23 14:14:27
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,18 to 29,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Northwest,50 to 85 percent,Landline,1,0.8379,0.7348,0.4284,0.7407,2018-10-23 14:14:27
Und,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Reps. keep House,Don't know,Favorable,Ted Cruz,18 to 29,4-year College Grad.,Other,Female,Very likely,Republican,Nonwhite,18 to 39,4-year College Grad.,Other Non-White,West,50 to 85 percent,Landline,0.7778,0.6642,1.1898,1.1225,1.124,2018-10-23 14:14:27
Und,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,Beto O'Rourke,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Cell,0.8889,0.9221,1.0999,0.6225,1.0875,2018-10-23 14:14:36
Dem,50 to 64,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.1575,0.7112,1.1475,2018-10-23 14:14:36
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.97,1.2889,0.7897,1.2778,2018-10-23 14:14:45
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.8659,0.691,0.3697,0.6934,2018-10-23 14:14:45
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.5697,1.3647,1.1892,1.4662,2018-10-23 14:14:45
Dem,65 and older,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Other Non-White,West,85 percent or higher,Landline,1,0.97,0.9267,0.6299,0.9187,2018-10-23 14:14:45
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.97,0.7322,0.3476,0.7259,2018-10-23 14:14:45
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.97,0.6678,0.3192,0.6621,2018-10-23 14:14:54
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,Less than 50 percent,Cell,1,0.441,0.6831,0.6875,0.7167,2018-10-23 14:14:54
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.4347,0.8728,1.4224,2018-10-23 14:14:54
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9295,1.0831,0.6056,1.0775,2018-10-23 14:15:03
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,0.8566,0.405,0.8492,2018-10-23 14:15:03
Dem,35 to 49,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Hispanic,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.5826,1.3943,1.3682,1.4919,2018-10-23 14:15:12
Dem,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9259,0.498,0.9111,2018-10-23 14:15:12
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,85 percent or higher,Landline,1,0.9199,0.9966,0.6175,0.9926,2018-10-23 14:15:12
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Hispanic,West,50 to 85 percent,Cell,1,0.8259,1.2108,0.9246,1.1914,2018-10-23 14:15:21
