response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,65 and older,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Unfavorable,Oppose,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9175,0.9147,0.6093,0.9227
Dem,18 to 34,Graduate or Professional Degree,Other,Female,Asian,Support,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Cell,1,0.8979,1.089,1.0519,1.1182
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Support,support,Disapp.,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,4-year College Grad.,White,Assembly Dist. 68,Less than 50 percent,Cell,0.8889,0.4181,1.6156,1.9504,1.6774
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9675,0.855,0.6608,0.8715
Und,18 to 34,Some college or trade school,Asian,Male,Asian,Oppose,support,Don't know,Don't know,Don't know,No,Don't know,Support,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,Other Non-White,Irvine,50 to 85 percent,Cell,0.8889,0.8039,1.2029,1.1802,1.1129
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,0.3333,0.2645,1.113,2.3558,0.621
Rep,65 and older,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.8605,0.9284,0.7069,0.9585
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Support,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9632,0.8792,0.6367,0.8964
Rep,50 to 64,Some college or trade school,Hispanic,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Support,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Cell,1,0.9731,0.8384,0.5063,0.8485
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9603,1.0803,0.5678,1.1017
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.968,0.7033,0.5121,0.7169
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,oppose,Approve,Don't know,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 68,50 to 85 percent,Cell,0.7778,0.7984,1.1691,0.751,1.1835
Dem,18 to 34,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Irvine,Less than 50 percent,Cell,0.8889,0.3376,1.131,2.1308,1.2024
Dem,50 to 64,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9697,0.9911,0.5971,1.0102
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Oppose,support,Disapp.,Don't know,Don't know,No,Favorable,Support,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,Other Non-White,Irvine,50 to 85 percent,Cell,1,0.8218,1.1734,1.1167,1.2194
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Assembly Dist. 68,50 to 85 percent,Cell,1,0.7324,0.9883,0.6972,1.0453
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9324,0.76,0.4491,0.7771
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9128,1.023,0.5155,1.0484
Rep,35 to 49,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Don't know,Support,30 to 44,Some College Educ.,Republican,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9025,0.8026,0.5376,0.8236
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Unfavorable,Yes,Favorable,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.8766,0.864,0.6895,0.872
Dem,35 to 49,Some college or trade school,White,Male,Other,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.9162,0.7922,0.6006,0.8115
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Assembly Dist. 68,85 percent or higher,Cell,1,0.977,0.7421,0.4025,0.7561
Rep,50 to 64,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9857,0.7569,0.4007,0.7712
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Other Non-White,Assembly Dist. 68,50 to 85 percent,Cell,0.6667,0.6331,1.0367,0.9921,1.0381
Dem,35 to 49,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9636,0.9315,0.4839,0.9497
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.9796,0.7166,0.4664,0.7301
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.9651,0.9534,0.7612,0.972
Rep,18 to 34,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Support,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8901,0.7056,0.4285,0.7253
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Don't know,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9205,0.7451,0.5658,0.7629
Und,35 to 49,Bachelors' degree,Unknown,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.7836,0.9846,0.7695,0.999
Dem,35 to 49,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9348,0.9554,0.5678,0.9642
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9587,1.0889,0.6379,1.1106
Dem,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Don't know,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Postgraduate Degree,White,Irvine,Less than 50 percent,Cell,0.7778,0.396,1.1081,1.9889,1.0987
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,No 4-year College Degree,Hispanic,Assembly Dist. 68,50 to 85 percent,Cell,1,0.7411,0.7857,0.7082,0.8005
Rep,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Cell,1,0.9678,0.83,0.5271,0.8461
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Oppose,Don't know,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,Irvine,50 to 85 percent,Cell,1,0.721,0.9835,0.8134,1.0428
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9801,0.7835,0.4087,0.7983
Dem,50 to 64,Some college or trade school,White,Female,White,Support,support,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.6639,0.9056,0.7881,0.9735
Dem,35 to 49,Bachelors' degree,Hispanic,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Hispanic,Assembly Dist. 68,50 to 85 percent,Cell,1,0.6642,0.9577,0.7326,1.0294
Dem,65 and older,Some college or trade school,White,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.9321,0.9534,0.7882,0.9621
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Irvine,85 percent or higher,Cell,1,0.9786,1.1671,0.788,1.1891
Dem,18 to 34,Some college or trade school,White,Male,White,Oppose,support,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.8269,0.7607,0.599,0.7898
Rep,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Support,support,Disapp.,Reps. keep House,Don't know,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.977,1.0762,0.6588,1.0966
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9924,0.9112,0.6651,0.9287
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.98,0.8097,0.563,0.8249
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Support,Don't know,Don't know,Dems. take House,Favorable,No,Favorable,Support,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,4-year College Grad.,Hispanic,Assembly Dist. 73/74,50 to 85 percent,Cell,0.6667,0.6244,0.9785,1.0472,0.9806
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Support,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.8298,0.8762,0.7313,0.9093
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,support,Disapp.,Don't know,Favorable,No,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9835,0.7805,0.4809,0.7952
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Don't know,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,0.8889,0.6491,0.8271,0.8524,0.8289
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Oppose,Don't know,Disapp.,Dems. take House,Favorable,Don't know,Favorable,Support,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,Assembly Dist. 68,85 percent or higher,Cell,0.6667,0.9741,0.9714,0.9233,0.9788
Rep,35 to 49,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,0.7778,0.7177,0.8653,0.8779,0.8409
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,support,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Irvine,85 percent or higher,Landline,0.8889,0.9817,1.1261,0.7298,1.1443
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Favorable,Support,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.9548,0.8711,0.617,0.8888
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.8321,0.7827,0.6287,0.8119
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,Nonwhite,50 to 64,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9681,0.7953,0.526,0.8106
Dem,50 to 64,Bachelors' degree,Other,Male,White,Oppose,oppose,Don't know,Dems. take House,Favorable,No,Don't know,Support,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,Other Non-White,Assembly Dist. 73/74,50 to 85 percent,Cell,0.6667,0.5413,1.5369,1.8542,1.2125
Dem,18 to 34,Bachelors' degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Assembly Dist. 73/74,Less than 50 percent,Cell,0.8889,0.4854,1.3938,1.9211,1.4266
Dem,35 to 49,Graduate or Professional Degree,Other,Female,Other,Oppose,support,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Other Non-White,Irvine,50 to 85 percent,Cell,1,0.8369,1.2035,1.2481,1.2474
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,18 to 34,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9283,0.6887,0.5312,0.7045
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Assembly Dist. 73/74,50 to 85 percent,Cell,0.8889,0.647,0.7585,0.7229,0.8007
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,4-year College Grad.,Other Non-White,Irvine,50 to 85 percent,Cell,1,0.762,1.5103,1.4874,1.5874
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Irvine,85 percent or higher,Landline,1,0.9916,0.86240000000000006,0.6152,0.8789
Rep,50 to 64,Graduate or Professional Degree,Other,Male,White,Support,support,Approve,Reps. keep House,Favorable,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Other Non-White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9063,1.1068,0.8697,1.1352
Rep,35 to 49,Some college or trade school,White,Female,White,Support,oppose,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9071,0.8026,0.5348,0.8231
Und,50 to 64,Bachelors' degree,Unknown,Female,Asian,Support,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,50 to 64,4-year College Grad.,Unknown,Assembly Dist. 68,85 percent or higher,Landline,0.4444,0.9002,1.0054,0.586,0.9764
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,support,Disapp.,Reps. keep House,Don't know,Yes,Don't know,Support,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.8157,0.9044,0.6045,0.9155
Rep,18 to 34,Bachelors' degree,Other,Male,White,Oppose,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",18 to 34,4-year College Grad.,Other Non-White,Assembly Dist. 68,Less than 50 percent,Cell,0.6667,0.3713,1.8984,2.8925,1.4308
Dem,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9076,0.6887,0.5433,0.7063
Und,[DO NOT READ] Refused,Bachelors' degree,Asian,Female,Asian,Support,Don't know,Approve,Dems. take House,Don't know,No,Don't know,Support,65 and older,4-year College Grad.,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,65 and older,4-year College Grad.,Other Non-White,Irvine,85 percent or higher,Landline,0.4444,0.8658,1.6723,1.4035,1.3591
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.97,1.1197,0.6049,1.1327
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9934,0.8016,0.575,0.8171
Dem,65 and older,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9851,1.0311,0.5358,1.0505
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Asian,Support,support,Approve,Reps. keep House,Don't know,No,Unfavorable,Oppose,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,Postgraduate Degree,Hispanic,Assembly Dist. 68,Less than 50 percent,Cell,1,0.294,1.0314,1.9439,1.3035
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9667,1.0563,0.6184,1.0768
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,Don't know,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.9662,0.7369,0.4536,0.7512
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9858,0.8016,0.5795,0.8167
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9821,0.7352,0.395,0.749
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Oppose,support,Disapp.,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Unknown,Assembly Dist. 68,50 to 85 percent,Cell,1,0.5341,0.6924,0.6927,0.774
