response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Newport Beach,Less than 50 percent,Cell,1,0.3554,1.0107,1.8456,1.1741
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,0.8306,0.6238,0.8149
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Newport Beach,85 percent or higher,Cell,1,0.9476,0.7632,0.5163,0.7518
Und,35 to 49,Some college or trade school,White,Male,Hispanic,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Already voted,or as a member of another political party,Nonwhite,35 to 49,No 4-year College Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.3217,1.0933,2.7328,1.3886
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Newport Beach,85 percent or higher,Cell,1,0.97,1.2982,0.7116,1.2737
Rep,35 to 49,High school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Costa Mesa/North,50 to 85 percent,Cell,1,0.845,1.1312,0.9313,1.0948
Dem,50 to 64,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.9525,0.8091,0.5317,0.7963
Dem,50 to 64,Some college or trade school,White,Female,Hispanic,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,1.3628,0.9312,1.3203
Und,50 to 64,Graduate or Professional Degree,Other,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Other Non-White,Laguna Beach/South,50 to 85 percent,Landline,0,0.5395,0.8474,0.9614,0.2643
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Don't know,Dems. take House,Don't know,Don't know,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Newport Beach,Less than 50 percent,Cell,1,0.3076,0.6608,1.4878,0.7919
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,0.8889,0.891,1.1174,0.6522,1.0674
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,4-year College Grad.,Other Non-White,Costa Mesa/North,Less than 50 percent,Cell,0.5556,0.2249,1.4827,4.2166,1.2696
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,0.647,0.4655,0.6268
Dem,35 to 49,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,Other Non-White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9324,1.5392,1.2936,1.5073
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Laguna Beach/South,85 percent or higher,Cell,1,0.8565,0.9562,0.7733,0.9461
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9009,0.966,0.4975,0.9333
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Newport Beach,85 percent or higher,Landline,1,0.9652,1.8315,1.4414,1.7882
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Newport Beach,85 percent or higher,Landline,1,0.97,0.9104,0.604,0.8932
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Newport Beach,85 percent or higher,Landline,1,0.97,0.8203,0.5843,0.8048
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,1.0625,0.9183,1.0294
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9652,1.344,0.9911,1.3197
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9582,1.2033,0.669,1.1754
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Unknown,Laguna Beach/South,50 to 85 percent,Landline,1,0.6027,0.559,0.6087,0.607
Und,65 and older,Bachelors' degree,White,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Not at all likely,Independent (No party),Nonwhite,65 and older,4-year College Grad.,White,Newport Beach,85 percent or higher,Landline,0,0.9583,1.1697,0.6969,0.8314
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Newport Beach,50 to 85 percent,Landline,1,0.8331,1.2826,0.6916,1.274
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.1111,0.4308,0.5435,0.8594,0.2094
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9685,0.6681,0.416,0.6522
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.8889,0.3829,1.2635,2.2523,1.2681
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Laguna Beach/South,Less than 50 percent,Cell,1,0.4295,0.6379,0.8884,0.7125
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Newport Beach,85 percent or higher,Landline,1,0.97,0.8471,0.5214,0.8269
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.934,0.7181,0.4997,0.7031
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Hispanic,Laguna Beach/South,50 to 85 percent,Cell,1,0.6562,0.4781,0.4587,0.4714
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9208,1.4473,1.1462,1.4334
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Not at all likely,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Laguna Beach/South,Less than 50 percent,Cell,0.5556,0.47,1.0004,1.9011,0.4771
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.7916,0.8493,0.6309,0.8499
Dem,18 to 34,Bachelors' degree,Other,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,18 to 34,4-year College Grad.,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.8904,1.0289,0.7793,1.0129
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Laguna Beach/South,85 percent or higher,Cell,1,0.97,0.856,0.5263,0.8398
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9661,1.268,0.807,1.2279
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.8581,0.6571,0.5528,0.65
Dem,65 and older,Graduate or Professional Degree,Other,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Postgraduate Degree,Other Non-White,Laguna Beach/South,50 to 85 percent,Landline,1,0.8242,0.9988,0.76,0.9936
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Newport Beach,50 to 85 percent,Cell,1,0.5192,1.1929,1.3106,1.2838
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Landline,1,0.3158,1.3023,2.5589,1.6622
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,0,0.9589,0.9934,0.6121,0.9026
Dem,50 to 64,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,50 to 64,No 4-year College Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.953,1.1257,0.8876,1.0889
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.9663,0.592,0.4749,0.578
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9637,0.5454,0.3473,0.5326
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,0.7133,0.4592,0.691
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.959,0.5679,0.3313,0.5496
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Landline,1,0.97,0.8698,0.5255,0.849
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,0.7181,0.4811,0.7045
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Laguna Beach/South,50 to 85 percent,Landline,0.4444,0.8309,1.3843,1.3883,1.2109
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,1.7496,1.2479,1.7165
Und,18 to 34,Bachelors' degree,White,Male,Hispanic,Don't know,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,18 to 34,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8413,0.7338,0.5656,0.7278
Dem,50 to 64,High school,Unknown,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.855,1.1525,0.8847,1.1586
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,[DO NOT READ] Don't know/Refused,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9321,0.9235,0.3606,0.9043
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Newport Beach,85 percent or higher,Cell,1,0.97,0.7992,0.4249,0.784
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,Unknown,Laguna Beach/South,Less than 50 percent,Cell,1,0.1285,0.9018,3.0037,1.1467
Dem,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),Nonwhite,50 to 64,4-year College Grad.,White,Laguna Beach/South,85 percent or higher,Cell,1,0.9451,0.856,0.5402,0.8436
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9602,1.344,0.9963,1.3127
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Newport Beach,Less than 50 percent,Cell,1,0.3984,1.3292,2.7277,1.5076
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.92,0.6169,0.382,0.605
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,0.647,0.4655,0.6315
Dem,35 to 49,Bachelors' degree,Unknown,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,4-year College Grad.,Unknown,Laguna Beach/South,50 to 85 percent,Cell,1,0.6121,0.7719,0.7915,0.8061
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9699,0.6309,0.4474,0.619
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Already voted,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,0.5517,0.3306,0.5412
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Newport Beach,50 to 85 percent,Cell,1,0.5084,0.9303,1.175,1.0053
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Other Non-White,Newport Beach,85 percent or higher,Cell,1,0.9434,1.0431,0.5723,1.0203
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Not at all likely,or as a member of another political party,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,0.5556,0.6679,0.9408,0.8116,0.5316
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,18 to 34,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9499,0.918,0.8934,0.9039
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,0.9226,0.5484,0.9005
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Laguna Beach/South,50 to 85 percent,Cell,1,0.5754,0.9763,1.587,1.0716
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Costa Mesa/North,50 to 85 percent,Cell,1,0.8281,1.536,1.2502,1.488
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,0.9934,0.6051,0.9697
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,0.8889,0.5381,1.0893,0.9412,1.131
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9543,0.9669,0.6207,0.9449
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9694,0.9226,0.5488,0.9006
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,4-year College Grad.,Other Non-White,Costa Mesa/North,50 to 85 percent,Cell,1,0.5263,1.3621,1.7225,1.4622
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,50 to 64,Postgraduate Degree,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.9318,0.8091,0.5435,0.7996
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,1.273,0.8515,1.2489
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8202,0.8944,0.9148,0.8669
Dem,50 to 64,Graduate or Professional Degree,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Postgraduate Degree,Other Non-White,Laguna Beach/South,Less than 50 percent,Cell,1,0.3175,0.9223,1.7088,0.9996
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.933,0.6303,0.3519,0.6092
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.9286,1.2387,0.9436,1.2134
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9094,0.8924,0.5555,0.886
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.6559,1.4299,1.3433,1.4752
