response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,50 to 64,Unknown,50 to 85 percent,Cell,0.8889,0.7539,1.2316,0.5382,1.2455
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.8619,0.7409,0.3847,0.7584
Und,35 to 49,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Brooklyn,35 to 49,White,85 percent or higher,Cell,1,0.9498,0.8001,0.4299,0.7976
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Brooklyn,50 to 64,White,Less than 50 percent,Cell,1,0.4212,0.827,1.0122,0.9457
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Brooklyn,50 to 64,Hispanic,Less than 50 percent,Cell,1,0.258,1.1261,3.3467,1.4314
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.8296,0.7269,0.2921,0.7368
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",Staten Island,65 and older,White,Less than 50 percent,Landline,1,0.1519,0.8356,2.6027,1.2032
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.97,0.7733,0.2111,0.7698
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,65 and older,Unknown,85 percent or higher,Landline,1,0.8925,1.0597,0.4743,1.0636
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.7699,0.9654,0.3662,0.9895
Rep,18 to 34,High school,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",Brooklyn,18 to 34,Other Non-White,50 to 85 percent,Landline,0.5556,0.5218,1.6754,1.6572,1.2039
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",Brooklyn,35 to 49,White,Less than 50 percent,Cell,0.5556,0.1582,0.8877,3.3832,0.5783
Und,65 and older,Graduate or Professional Degree,Black,Female,Other,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Staten Island,65 and older,Other Non-White,85 percent or higher,Landline,1,0.9185,1.0056,0.3152,1.0059
Rep,35 to 49,High school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,Staten Island,35 to 49,White,50 to 85 percent,Cell,1,0.545,1.5669,1.3326,1.7043
Und,65 and older,High school,White,Female,White,Approve,Don't know,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.8781,1.1783,0.4474,1.185
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,Less than 50 percent,Landline,0.6667,0.438,1.678,2.1594,1.2555
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,18 to 34,White,Less than 50 percent,Cell,1,0.4037,0.9323,0.8195,1.0755
Dem,[DO NOT READ] Refused,Some college or trade school,Hispanic,Male,[DO NOT READ] Don't know/Refused,Approve,Dems. take House,Unfavorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Not at all likely,Democrat,[DO NOT READ] Don't know/Refused,Staten Island,50 to 64,Hispanic,50 to 85 percent,Landline,0,0.8396,1.0516,0.5854,0.5353
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.5646,0.7269,0.4286,0.7855
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,Don't know,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Staten Island,18 to 34,White,Less than 50 percent,Cell,0.8889,0.2554,0.637,1.2846,0.6855
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,Hispanic,85 percent or higher,Landline,1,0.9503,1.1407,0.3932,1.1371
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Brooklyn,50 to 64,White,50 to 85 percent,Cell,1,0.5835,0.6974,0.3527,0.7491
Und,18 to 34,Bachelors' degree,Asian,Female,Asian,Don't know,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Brooklyn,18 to 34,Other Non-White,85 percent or higher,Landline,0.6667,0.8685,0.8403,0.3775,0.7388
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,65 and older,Unknown,85 percent or higher,Landline,1,0.9695,0.8754,0.2949,0.8714
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Staten Island,65 and older,White,50 to 85 percent,Landline,0.5556,0.5346,0.9609,0.6564,0.694
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Staten Island,50 to 64,Hispanic,85 percent or higher,Landline,1,0.8949,0.9669,0.5134,0.9702
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,65 and older,White,Less than 50 percent,Cell,1,0.2948,1.0108,1.4104,1.2471
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Black,Female,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Favorable,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,Staten Island,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.9146,1.1002,0.2452,1.101
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",Brooklyn,18 to 34,White,Less than 50 percent,Landline,1,0.4283,0.5879,0.5488,0.6219
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,Hispanic,Less than 50 percent,Landline,1,0.1245,1.2118,3.4257,1.581
Rep,[DO NOT READ] Refused,High school,Black,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,Other Non-White,85 percent or higher,Cell,1,0.8987,1.5238,0.8285,1.5281
Dem,35 to 49,Bachelors' degree,Black,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,35 to 49,Other Non-White,85 percent or higher,Cell,1,0.9142,1.022,0.4265,1.0228
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.8039,1.037,0.4523,1.0559
Dem,65 and older,Some college or trade school,Black,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Staten Island,65 and older,Other Non-White,50 to 85 percent,Landline,1,0.6369,1.0378,0.5955,1.0975
Rep,50 to 64,High school,White,Female,White,Approve,Don't know,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9123,1.384,0.5725,1.3855
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,0.8889,0.97,0.8038,0.2506,0.7973
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.9125,0.6485,0.2266,0.6491
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Brooklyn,65 and older,White,85 percent or higher,Cell,1,0.97,0.7444,0.2746,0.7448
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,18 to 34,White,50 to 85 percent,Landline,1,0.6564,0.7725,0.5102,0.8127
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,50 to 64,White,Less than 50 percent,Cell,1,0.4707,1.3387,1.592,1.4974
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,Unknown,85 percent or higher,Landline,1,0.9586,0.8835,0.4475,0.8802
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,18 to 34,White,Less than 50 percent,Cell,1,0.0463,0.8471,3.1106,1.6271
Dem,18 to 34,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Brooklyn,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.2512,0.8444,1.4364,1.0798
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9064,0.7026,0.3184,0.6923
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,65 and older,Other Non-White,50 to 85 percent,Landline,1,0.5524,2.084,1.6409,2.261
Und,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Staten Island,35 to 49,Other Non-White,Less than 50 percent,Cell,1,0.3065,0.9374,1.5862,1.1466
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,50 to 64,White,Less than 50 percent,Cell,1,0.3808,0.8786,1.0235,1.0259
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,Unknown,85 percent or higher,Cell,1,0.9395,0.9724,0.3238,0.9704
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Brooklyn,50 to 64,White,Less than 50 percent,Landline,1,0.446,0.6813,0.5936,0.7702
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Democratic,Female,Not at all likely,Independent (No party),Nonwhite,Staten Island,18 to 34,White,Less than 50 percent,Landline,0.7778,0.321,0.8471,1.454,0.4505
Dem,65 and older,High school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.9527,1.119,0.5847,1.1153
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,Staten Island,50 to 64,Hispanic,50 to 85 percent,Landline,1,0.7977,0.9005,0.4544,0.8915
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9355,0.8337,0.246,0.8323
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Brooklyn,65 and older,White,85 percent or higher,Landline,1,0.9519,0.8183,0.3782,0.8156
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,18 to 34,White,Less than 50 percent,Landline,1,0.0503,0.7413,1.9359,1.3966
Rep,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Brooklyn,50 to 64,White,50 to 85 percent,Cell,1,0.6296,0.7666,0.4419,0.8123
Rep,35 to 49,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Brooklyn,35 to 49,White,50 to 85 percent,Landline,0.8889,0.7684,0.7641,0.5421,0.7432
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,White,Less than 50 percent,Landline,1,0.2477,1.0168,1.6457,1.3046
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9214,0.7759,0.3399,0.7646
Rep,65 and older,Graduate or Professional Degree,Other,Male,Asian,Don't know,Dems. take House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Staten Island,65 and older,Other Non-White,85 percent or higher,Landline,0.8889,0.8752,0.9752,0.3424,0.9716
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9035,0.8806,0.2375,0.8825
Dem,50 to 64,High school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.8163,1.4597,0.7086,1.4432
Dem,[DO NOT READ] Refused,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Brooklyn,35 to 49,Other Non-White,50 to 85 percent,Landline,0.5556,0.5175,1.1367,0.9584,0.8154
Rep,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Staten Island,18 to 34,Unknown,85 percent or higher,Cell,1,0.9641,0.8392,0.2802,0.8287
Rep,18 to 34,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Brooklyn,18 to 34,Unknown,Less than 50 percent,Landline,1,0.3587,1.2683,2.6834,1.376
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,50 to 64,White,85 percent or higher,Landline,1,0.8669,0.6868,0.1651,0.692
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,35 to 49,White,85 percent or higher,Landline,1,0.9093,0.7823,0.3774,0.7834
Dem,18 to 34,High school,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,High School Grad. or Less,Other,Male,Not very likely,Democrat,Nonwhite,Brooklyn,18 to 34,Other Non-White,Less than 50 percent,Landline,0.7778,0.1586,1.2795,5.8617,0.8008
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Staten Island,18 to 34,Unknown,Less than 50 percent,Landline,1,0.1707,0.983,1.5753,1.3762
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.9571,1.015,0.454,1.0112
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,18 to 34,White,50 to 85 percent,Cell,1,0.845,0.8381,0.2906,0.8473
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9517,0.7805,0.3227,0.778
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Brooklyn,35 to 49,Hispanic,85 percent or higher,Landline,1,0.97,0.7855,0.3617,0.7819
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,50 to 64,White,Less than 50 percent,Landline,1,0.3459,1.3387,2.166,1.5951
Dem,35 to 49,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Staten Island,35 to 49,White,50 to 85 percent,Landline,1,0.7051,0.8335,0.3231,0.8664
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,50 to 64,White,50 to 85 percent,Cell,1,0.5796,0.6732,0.4577,0.724
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,18 to 34,White,50 to 85 percent,Cell,1,0.5468,0.6784,0.584,0.73740000000000006
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Brooklyn,50 to 64,Unknown,50 to 85 percent,Landline,1,0.8121,0.955,0.3396,0.971
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Staten Island,65 and older,Unknown,50 to 85 percent,Landline,1,0.7697,1.0513,0.4311,1.0432
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Brooklyn,50 to 64,White,50 to 85 percent,Cell,1,0.7689,0.8921,0.3207,0.9145
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",Staten Island,35 to 49,White,Less than 50 percent,Landline,0.5556,0.4332,1.05,0.9959,0.7298
Dem,35 to 49,High school,Other,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Staten Island,35 to 49,Other Non-White,Less than 50 percent,Cell,0.6667,0.0628,2.0692,9.9,1.5823
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,65 and older,White,50 to 85 percent,Landline,0.8889,0.8402,0.8601,0.31,0.8599
Dem,50 to 64,High school,Black,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",Brooklyn,50 to 64,Other Non-White,50 to 85 percent,Landline,0.7778,0.5046,1.7048,1.8412,1.6282
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9662,0.9153,0.2637,0.9041
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Staten Island,50 to 64,White,85 percent or higher,Landline,1,0.9626,0.8858,0.2186,0.8822
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,Favorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Staten Island,50 to 64,Hispanic,Less than 50 percent,Cell,1,0.3143,1.0413,1.8468,1.2667
Dem,50 to 64,High school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.6321,1.6622,0.9592,1.6777
Rep,18 to 34,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Staten Island,18 to 34,White,Less than 50 percent,Landline,1,0.1412,0.7515,1.7771,1.1014
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.7627,1.0638,0.3201,1.092
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.8297,0.9576,0.2766,0.946
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Brooklyn,50 to 64,Other Non-White,50 to 85 percent,Landline,1,0.8164,0.9634,0.3263,0.9525
Dem,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Staten Island,65 and older,Unknown,85 percent or higher,Cell,1,0.9062,0.8784,0.4829,0.88
