response,ager,educ,file_race,gender,race_eth,approve,GOVHR,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Some college or trade school,Hispanic,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Hispanic,Rest of Clark,85 percent or higher,Cell,1,0.9729,1.1327,0.5299,1.1209
5,18 to 34,Some college or trade school,Black,Female,Hispanic,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Other Non-White,Rest of Clark,Less than 50 percent,Cell,0.8889,0.4129,1.3279,2.3827,1.4695
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,Hispanic,Washoe/Carson City,85 percent or higher,Cell,1,0.9887,0.9913,0.4116,0.984
Und,65 and older,High school,Black,Male,Black,Disapp.,Lib./Don't know,Don't know,Dem.,Favorable,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,Rest of Clark,Less than 50 percent,Cell,1,0.1449,1.1775,5.017,1.1416
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Washoe/Carson City,Less than 50 percent,Cell,1,0.3619,1.1447,1.5346,1.2417
Rep,65 and older,High school,Hispanic,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Rest of Clark,50 to 85 percent,Cell,1,0.6093,1.1576,0.7812,1.2352
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Lib./Don't know,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest,50 to 85 percent,Cell,1,0.6982,0.8431,0.4135,0.844
Dem,[DO NOT READ] Refused,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Don't know,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,No 4-year College Degree,Other Non-White,Rest of Clark,85 percent or higher,Cell,0.7778,0.917,1.2856,0.7831,1.2427
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Washoe/Carson City,Less than 50 percent,Cell,1,0.315,1.1638,2.4511,1.4166
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Rep.,Favorable,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Rest of Clark,85 percent or higher,Cell,1,0.9295,0.8874,0.4733,0.8756
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Landline,0.8889,0.8608,1.1008,0.7303,1.0995
Dem,50 to 64,Some college or trade school,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Don't know,Dem.,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,[DO NOT READ] Don't know/Refused,40 to 64,No 4-year College Degree,Other Non-White,Rest of Clark,85 percent or higher,Cell,1,0.9299,1.341,0.7585,1.3232
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dem.,Favorable,Dem.,Favorable,30 to 44,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Rest of Clark,85 percent or higher,Cell,1,0.9233,1.2275,0.9155,1.211
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Rest of Clark,85 percent or higher,Cell,1,0.9569,1.0783,0.6509,1.0756
Rep,50 to 64,Some college or trade school,Other,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Other Non-White,Rest of Clark,85 percent or higher,Cell,1,0.98740000000000006,1.2275,0.856,1.218
Dem,65 and older,Bachelors' degree,Black,Male,Black,Disapp.,Dem.,Unfavorable,Dem.,Don't know,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Other Non-White,Rest of Clark,Less than 50 percent,Cell,0.6667,0.4577,1.0149,0.9867,1.0181
Dem,65 and older,Bachelors' degree,Black,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Other Non-White,Central/North Las Vegas,50 to 85 percent,Cell,1,0.6484,1.1671,0.7963,1.2319
Und,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Lib./Don't know,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Rest of Clark,Less than 50 percent,Cell,0,0.2714,0.9776,1.874,0.2314
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,Other Non-White,Washoe/Carson City,85 percent or higher,Cell,1,0.9016,1.1856,0.7923,1.1899
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,50 to 85 percent,Cell,1,0.8306,1.0242,0.5671,1.0392
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Landline,0.7778,0.9951,0.7767,0.3317,0.7705
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Lib./Don't know,Unfavorable,Rep.,Don't know,65 and older,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,0.7778,0.4987,0.9524,1.0762,0.7714
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,85 percent or higher,Landline,1,0.9372,0.808,0.3489,0.8075
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Central/North Las Vegas,50 to 85 percent,Cell,1,0.5476,1.3121,1.4291,1.4275
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dem.,Don't know,Dem.,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Rest of Clark,Less than 50 percent,Cell,1,0.1798,1.1468,3.4376,1.5876
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9955,0.807,0.3106,0.8031
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.9804,0.8184,0.3517,0.8154
Rep,65 and older,High school,Black,Female,Black,Approve,Rep.,Don't know,Dem.,Don't know,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,Rest of Clark,Less than 50 percent,Cell,1,0.0716,1.2061,4.9601,1.7561
Rep,50 to 64,Some college or trade school,Other,Male,Hispanic,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Rest of Clark,85 percent or higher,Cell,0.8889,0.9773,1.3116,0.8399,1.2937
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Rest of Clark,Less than 50 percent,Cell,1,0.4758,0.9367,1.0344,1.0468
Und,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Hispanic,Central/North Las Vegas,50 to 85 percent,Cell,1,0.6823,0.9488,0.5904,0.9928
Dem,65 and older,High school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Don't know,Dem.,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,65 and older,No 4-year College Degree,Other Non-White,Central/North Las Vegas,Less than 50 percent,Cell,1,0.3732,1.1449,2.016,1.2363
Rep,65 and older,Some college or trade school,Unknown,Female,Other,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,No 4-year College Degree,Unknown,Central/North Las Vegas,85 percent or higher,Cell,1,0.9873,0.949,0.5804,0.9455
Dem,35 to 49,Some college or trade school,Black,Female,White,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Other Non-White,Rest of Clark,Less than 50 percent,Cell,0.8889,0.4105,1.3009,1.9921,1.441
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,Postgraduate Degree,Other,Male,Somewhat likely,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Rest of Clark,Less than 50 percent,Cell,0.5556,0.4713,0.9326,1.2042,0.658
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Washoe/Carson City,Less than 50 percent,Cell,1,0.2796,1.2189,2.3469,1.5234
4,35 to 49,Some college or trade school,Unknown,Male,White,Approve,4,Don't know,Rep.,Don't know,30 to 44,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Washoe/Carson City,50 to 85 percent,Cell,1,0.7557,1.3771,0.9856,1.4172
Dem,50 to 64,High school,White,Male,Black,Disapp.,Dem.,Favorable,Dem.,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9608,1.0698,0.6012,1.0668
Dem,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,Dem.,Don't know,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,4-year College Grad.,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9795,0.844,0.4241,0.8361
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,4-year College Grad.,Hispanic,Central/North Las Vegas,85 percent or higher,Cell,1,0.8825,0.9033,0.502,0.8913
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9856,0.844,0.4215,0.8409
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Rep.,Unfavorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9707,0.7278,0.3703,0.7253
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9721,0.6709,0.289,0.6638
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Washoe/Carson City,85 percent or higher,Cell,1,0.994,0.962,0.5357,0.959
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Rest of Clark,50 to 85 percent,Cell,1,0.7134,1.3515,0.9659,1.3505
Rep,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.9876,0.9534,0.5032,0.9461
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Cell,1,0.5107,1.2981,1.2825,1.431
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Hispanic,Rest of Clark,Less than 50 percent,Cell,1,0.2021,0.8087,1.526,1.089
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dem.,Don't know,Dem.,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,1,0.4981,1.0836,1.3784,1.2003
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Hispanic,Washoe/Carson City,Less than 50 percent,Cell,1,0.4176,0.9214,1.093,0.9791
Dem,65 and older,Grade school,Hispanic,Male,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Central/North Las Vegas,85 percent or higher,Cell,1,0.9755,1.0193,0.4179,1.009
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Rep.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9896,0.767,0.3341,0.7643
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Central/North Las Vegas,50 to 85 percent,Landline,1,0.8139,0.9217,0.4576,0.9379
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Lib./Don't know,Unfavorable,Dem.,Unfavorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,Rest,Less than 50 percent,Landline,0.4444,0.2438,0.8652,1.6085,0.8102
Dem,18 to 34,High school,Hispanic,Male,Hispanic,Approve,Dem.,Favorable,Dem.,Unfavorable,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,0.4444,0.306,1.1061,2.698,0.6757
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dem.,Unfavorable,Dem.,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,Less than 50 percent,Cell,0.6667,0.4983,0.8529,1.0195,0.8492
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dem.,Favorable,Dem.,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Central/North Las Vegas,Less than 50 percent,Cell,0.7778,0.0687,1.0378,4.4653,1.5132
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Rep.,Don't know,Rep.,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Rest,Less than 50 percent,Cell,0.8889,0.3,1.1569,2.5113,1.2202
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.9777,0.9534,0.5083,0.9499
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,Less than 50 percent,Cell,0.7778,0.1581,0.8529,3.2142,0.9097
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Rest,85 percent or higher,Cell,1,0.9875,0.8352,0.3214,0.8288
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Rest,85 percent or higher,Cell,1,0.9597,0.8521,0.3779,0.842
Rep,50 to 64,Some college or trade school,White,Female,Black,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.9896,1.0491,0.631,1.0453
Dem,65 and older,High school,Hispanic,Female,White,Disapp.,Dem.,Don't know,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Rest of Clark,85 percent or higher,Cell,1,0.9027,1.009,0.3977,1.0124
Und,65 and older,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Rep.,Unfavorable,Rep.,Unfavorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,4-year College Grad.,Hispanic,Rest of Clark,85 percent or higher,Cell,0.7778,0.9914,0.8121,0.2977,0.8067
Dem,50 to 64,Graduate or Professional Degree,White,Female,Asian,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9936,0.7767,0.3322,0.7742
Rep,35 to 49,Some college or trade school,Hispanic,Female,White,Disapp.,Rep.,Unfavorable,Rep.,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Hispanic,Rest,85 percent or higher,Cell,1,0.9157,1.0999,0.6046,1.085
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,85 percent or higher,Landline,0.8889,0.98740000000000006,0.8634,0.4467,0.8545
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Rep.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Rest of Clark,85 percent or higher,Cell,1,0.9773,1.1581,0.4534,1.1468
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,Less than 50 percent,Cell,1,0.3373,0.8783,1.4027,0.9629
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,5,Unfavorable,Dem.,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.9922,1.0683,0.6252,1.0647
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.898,1.0255,0.6549,1.0297
Dem,35 to 49,High school,Hispanic,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,1,0.2249,1.1106,3.1759,1.4586
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,Rep.,Don't know,Rep.,Favorable,65 and older,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,50 to 85 percent,Cell,0.6667,0.5278,0.9204,0.7576,0.8402
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.965,0.7928,0.4114,0.7904
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9946,0.7502,0.3869,0.7462
Dem,35 to 49,Some college or trade school,White,Female,Black,Approve,Rep.,Unfavorable,Dem.,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9357,0.9792,0.7398,0.9787
Rep,50 to 64,High school,White,Male,White,Disapp.,Lib./Don't know,Unfavorable,Dem.,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9714,1.1255,0.5561,1.1217
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9858,1.0357,0.6006,1.0319
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,Don't know,Rep.,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Central/North Las Vegas,Less than 50 percent,Cell,1,0.4212,1.0114,2.2512,1.1581
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Not very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9892,1.003,0.6919,0.9779
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9659,0.7201,0.3109,0.7179
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.7716,0.9259,0.5313,0.9196
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Dem.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.9204,0.8827,0.4118,0.8838
Dem,18 to 34,High school,White,Male,White,Disapp.,Rep.,Favorable,Dem.,Unfavorable,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Washoe/Carson City,Less than 50 percent,Cell,1,0.3949,1.11,2.2057,1.2879
