response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_party_model,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9485,1.5109,1.2912,1.5248
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.9523,1.0495,0.8928,1.0594
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,40 to 64,Probably Clinton,White,85 percent or higher,Cell,1,0.9277,0.6457,0.4766,0.6602
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.9326,1.0754,0.8526,1.0845
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Don't know,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,Iron Range,18 to 39,Unknown,White,50 to 85 percent,Cell,1,0.6979,0.9948,1.1633,1.0903
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Clinton,Unknown/Non-White,85 percent or higher,Cell,1,0.965,0.511,0.3404,0.5163
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Duluth,40 to 64,Probably Clinton,White,85 percent or higher,Landline,1,0.965,0.6425,0.4721,0.6492
3,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.9594,0.811,0.9776
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Minn. Exurbs,65 and older,Probably Trump,Unknown/Non-White,85 percent or higher,Cell,1,0.886,0.7563,0.639,0.7774
3,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.8211,0.632,0.8367
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9364,1.3615,1.2218,1.3907
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,40 to 64,Most Trump,Unknown/Non-White,85 percent or higher,Landline,1,0.965,1.0825,0.814,1.103
Und,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Don't know,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,40 to 64,Unknown,Unknown/Non-White,85 percent or higher,Cell,1,0.8958,1.0023,0.9253,1.0289
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Republican,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Most Trump,White,85 percent or higher,Landline,1,0.965,1.1865,0.9801,1.2158
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Most Trump,White,85 percent or higher,Landline,1,0.9008,1.3854,1.3328,1.4212
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9384,1.5109,1.3051,1.543
Rep,35 to 49,Some college or trade school,Other,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,Unknown/Non-White,85 percent or higher,Landline,0.8889,0.95,1.0317,0.9707,1.0471
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Cell,1,0.9119,1.089,0.99,1.0979
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,Unknown/Non-White,85 percent or higher,Cell,1,0.9479,0.9924,0.9213,1.0125
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Minn. Exurbs,40 to 64,Probably Trump,White,50 to 85 percent,Landline,1,0.7735,0.7653,0.7686,0.802
Dem,50 to 64,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.8632,0.687,0.5896,0.7086
3,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Duluth,18 to 39,Unknown,White,85 percent or higher,Cell,1,0.9336,0.8133,0.6673,0.8203
Rep,65 and older,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Already voted,Republican,Nonwhite,Nonwhite,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9433,1.0628,1.0232,1.0934
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.965,1.1322,0.9878,1.1536
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.965,0.5031,0.3896,0.5084
Dem,35 to 49,Some college or trade school,Unknown,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Iron Range,18 to 39,Probably Trump,Unknown/Non-White,50 to 85 percent,Landline,0.7778,0.5554,0.978,1.5857,1.022
Rep,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.2991,1.1764,1.3237
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.9256,0.9594,0.8455,0.9214
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Minn. Exurbs,40 to 64,Unknown,White,50 to 85 percent,Landline,1,0.7788,0.5577,0.5471,0.5839
3,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,Minn. Exurbs,18 to 39,Unknown,White,50 to 85 percent,Cell,1,0.5526,0.6766,0.8826,0.7823
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,Most Trump,Unknown/Non-White,85 percent or higher,Cell,1,0.965,1.5314,1.378,1.5604
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,50 to 85 percent,Landline,1,0.6698,0.4573,0.5051,0.5058
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,50 to 85 percent,Cell,1,0.748,1.2275,1.442,1.2932
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.6915,0.624,0.5884,0.6659
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Minn. Exurbs,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9549,0.9193,0.7558,0.9374
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Don't know,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,0.9113,0.6765,0.9338
Rep,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Probably Trump,White,85 percent or higher,Cell,0.4444,0.8567,1.3428,1.3702,1.0808
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,1,0.5157,0.517,0.6688,0.5815
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.089,0.9355,1.1096
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Most Trump,White,85 percent or higher,Landline,1,0.965,1.1579,1.0479,1.1701
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Cell,1,0.965,1.2029,0.9554,1.2326
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Minn. Exurbs,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.9198,0.6965,0.5938,0.7128
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Most Trump,White,85 percent or higher,Landline,0.8889,0.9416,1.1865,1.0045,1.2043
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.0628,1.0003,1.0739
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9374,1.089,0.963,1.0985
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Minn. Exurbs,18 to 39,Probably Trump,White,85 percent or higher,Cell,1,0.9215,0.7265,0.6289,0.7433
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Duluth,18 to 39,Unknown,White,85 percent or higher,Cell,0.8889,0.937,0.5097,0.4417,0.5101
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.0628,1.0003,1.0829
Dem,18 to 34,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,Duluth,18 to 39,Unknown,White,50 to 85 percent,Cell,0.6667,0.5315,0.7782,1.2647,0.5224
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Dems. take House,Don't know,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.7835,0.627,0.7984
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.943,1.1579,1.0893,1.182
Und,65 and older,Grade school,White,Male,Hispanic,Disapp.,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Male,Already voted,or as a member of another political party,Nonwhite,Nonwhite,Duluth,65 and older,Unknown,White,50 to 85 percent,Cell,1,0.7181,0.7729,0.8517,0.8417
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.0628,1.0003,1.0829
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Landline,0.4444,0.9437,1.6289,1.417,1.5669
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.965,0.687,0.5274,0.7
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,Probably Trump,White,85 percent or higher,Cell,1,0.9172,1.4046,1.2823,1.4379
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.9685,0.9677,0.9868
Dem,35 to 49,Grade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,40 to 64,Most Trump,White,50 to 85 percent,Landline,1,0.6166,1.5555,1.9774,1.6929
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,0.5711,0.4494,0.5819
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 39,Most Trump,Unknown/Non-White,50 to 85 percent,Cell,0.8889,0.8048,1.2263,1.2891,1.1342
Und,35 to 49,Graduate or Professional Degree,White,Female,Other,Approve,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,Minn. Exurbs,40 to 64,Probably Trump,White,50 to 85 percent,Cell,1,0.7491,0.4914,0.4931,0.4999
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.089,0.9355,1.1096
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.1322,0.9878,1.1536
3,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Don't know,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,40 to 64,Most Trump,Unknown/Non-White,50 to 85 percent,Cell,0.4444,0.782,1.0358,1.0838,0.824
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,Unknown/Non-White,85 percent or higher,Landline,1,0.965,1.4082,1.3231,1.423
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,50 to 85 percent,Landline,0.5556,0.7276,1.029,1.1789,0.8292
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.9441,0.687,0.5391,0.7012
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,Probably Trump,White,50 to 85 percent,Cell,0.4444,0.8068,1.0976,1.2159,0.8884
Rep,18 to 34,Some college or trade school,Unknown,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Don't know,18 to 29,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,Nonwhite,Nonwhite,Minn. Exurbs,18 to 39,Most Trump,Unknown/Non-White,50 to 85 percent,Cell,1,0.7472,1.2095,1.4243,1.2307
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Probably Trump,Unknown/Non-White,85 percent or higher,Cell,0.1111,0.9346,0.9037,0.8376,0.8507
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9292,0.3738,0.2794,0.3822
Und,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Duluth,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,0.6957,0.5988,0.7089
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Minn. Exurbs,40 to 64,Probably Trump,White,Less than 50 percent,Cell,1,0.4817,1.2166,2.0365,1.3863
Und,35 to 49,Some college or trade school,White,Male,Other,Approve,Don't know,Unfavorable,Don't know,30 to 44,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,Minn. Exurbs,40 to 64,Most Trump,White,85 percent or higher,Cell,1,0.8618,1.4001,1.3366,1.4445
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,0.5711,0.4494,0.5852
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.7835,0.627,0.7984
Rep,65 and older,High school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,50 to 85 percent,Landline,0.2222,0.7453,1.2098,1.2819,0.8457
Und,35 to 49,High school,White,Female,White,Don't know,Don't know,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Minn. Exurbs,18 to 39,Unknown,White,50 to 85 percent,Cell,0.4444,0.6949,1.7049,2.2664,1.2839
Dem,50 to 64,[DO NOT READ] Refused,White,Male,Black,Don't know,Don't know,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Duluth,40 to 64,Probably Clinton,White,Less than 50 percent,Cell,0.8889,0.481,0.775,0.9989,0.8545
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.6052,0.7457,0.9297,0.8143
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9485,1.0184,0.8519,1.0278
Und,65 and older,[DO NOT READ] Refused,White,Female,White,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,0.4444,0.965,0.8554,0.5958,0.7901
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.8301,0.7278,0.7247,0.7548
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,40 to 64,Most Trump,Unknown/Non-White,85 percent or higher,Cell,1,0.9377,1.2759,1.1885,1.287
Dem,35 to 49,Graduate or Professional Degree,White,Female,Other,Don't know,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Minn. Exurbs,18 to 39,Unknown,White,50 to 85 percent,Cell,1,0.8103,0.6603,0.6436,0.6872
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,1,0.6332,0.8052,0.8769,0.8723
3,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Duluth,40 to 64,Probably Clinton,White,85 percent or higher,Landline,0.6667,0.9534,0.7678,0.6608,0.7322
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.965,1.413,1.1359,1.4397
Dem,65 and older,High school,White,Female,White,Approve,Don't know,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Landline,0.4444,0.965,1.413,1.1359,1.4017
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,50 to 85 percent,Cell,1,0.7542,1.0042,1.2161,1.0566
